3,Admin 3/14,Admin 4/8,Admin 4/11,Admin 4/14,Admin  8/3,,Admin 7/9,Admin 7/12,Ad 7/19,,,,
4,Bays100-384-01,Bays100-384-02,Bays100-483-02,Bays100-583-03,Deer19-382A-03,648-285-03,91-338A-05,19-107-01,656-485A-02,,,,
5,Admin 4/6,Admin 4/9,Admin 4/12,Admin 4/15,Admin  8/4,,Admin 7/10,Ad 7/17,Ad 7/20,Admin 7/21,,,
6,Bays100-B99B-02,Bays100-384-03,Bays100-583-01,Bays100-683-01,Deer19-382A-04,685-685-02,19-242-01,648-485-04,656-585-02,660-484B-01,,,
,T5-A,T5-B,T5-C,T5-D,T5-E,T5-F,T5-G,T5-H,T5-I,T5-J,T5-K,T5-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,100 BSR,,,,
,,,,To 575 Comm (HoJo's),,,,,Rm. B99B,,,,
,,,,,,,,1010',,,,,
,,(1-24),,,,(1-24 SM),,,(73-96 SM (of 96),,,,
1,R-Slot2 Port 11,R-Slot2 Port 14,R-Slot2 Port 17,,A- Slot2 Port 10,,comm575-284-3,comm595-584-3,,,,,
2,575-0600ES01,575-0300ES01,575-0BXXES01,,565-117-01,575-0500-02,comm595-l190,comm595-l190,,,,,
3,R-Slot2 Port 12,R-Slot2 Port 15,A-Slot 7 Port 5,,R- Slot4 Port 4,,comm575-384-3,omm595-684-3,,,,,
4,575-0500ES01,575-0200ES01,575-0BXXES02,,575-B03-03,575-0500-03,comm595-l190,comm595-l190,,,,,
5,R-Slot2 Port 13,R-Slot2 Port 16,comm575-684-03,pch to R1 D5,Admin  8/13,comm565-189es04,comm575-484-3,Splice,,,,,
6,575-0400ES01,575-0200ES03,comm595-L190-aca,,565-189-02,comm595-aca03,comm595-l190,Splice,,,,,
,T6-A,T6-B,T6-C,T6-D,T6-E,T6-F,T6-G,T6-H,T6-I,T6-J,T6-K,T6-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,To Hub 635,,,,,,,,,
,,,,,,,,,,,,,
,,,,(49-96),,,,,,,,,
1,R-Slot1 Port 20,R-Slot1 Port 23,R-Slot2 Port 2,R-Slot2 Port 5,R-Slot2 Port 8,,,,FUTURE,FUTURE,FUTURE,FUTURE,
2,166-OBXXES01,178-OBXXES01,188-OBXXES01,194-OBXXES01,208-OBXXES01,595-L190-01,,,FUTURE,FUTURE,FUTURE,FUTURE,
3,R-Slot1 Port 21,R-Slot1 Port 24,R-Slot2 Port 3,R-Slot2 Port 6,R-Slot2 Port 9,A-Slot6 Port 9,A-Slot6 Port 22,,FUTURE,FUTURE,FUTURE,FUTURE,
4,168-OBXXES01,180-OBXXES01,188-OBXXES02,200-OBXXES01,210-OBXXES01,ALBnet,621-B05-01,,FUTURE,FUTURE,FUTURE,FUTURE,
5,R-Slot1 Port 22,R-Slot2 Port 1,R-Slot2 Port 4,R-Slot2 Port 7,R-Slot2 Port 10,pch to T4 I1,,,FUTURE,FUTURE,FUTURE,FUTURE,
6,172-B01AES01,182-OBXXES01,192-OBXXES01,206-OBXXES01,212-OBXXES01,Bays116-0B01,,,FUTURE,FUTURE,FUTURE,FUTURE,
,T7-A,T7-B,T7-C,T7-D,T7-E,T7-F,T7-G,T7-H,T7-I,T7-J,T7-K,T7-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,To Hub 635,,,,,,,,,
,,,,,,,,,,,,,
,,,,(1-48 SM),,,,,,,,,
1,Circuit 1,Circuit 4,Circuit 8 comm881,Circuit 73 comm765,Circuit 76 cumm111,spliced,comm635-192es04,,FUTURE,FUTURE,FUTURE,FUTURE,
2,,,,,,spliced,comm595-dist-aca03,,FUTURE,FUTURE,FUTURE,FUTURE,
3,Circuit 3,comm595-l190,buic010-b99a-res02,bays181-b81-1,Circuit 85,Ad Core 2/4,comm635-192es06,Spliced,FUTURE,FUTURE,FUTURE,FUTURE,
4,,buic010-b99a-cir07,comm595-core-cir#6,comm595-l190,,595-L190-04,comm595-dist-aca03,Spliced,FUTURE,FUTURE,FUTURE,FUTURE,
5,bays194-b01-1,check circuit 5,Circuit 9,Circuit 75 cumm111,Circuit 15 cumm111,bays199-b01-1,R-Slot 5 Port 1,Circuit 10,FUTURE,FUTURE,FUTURE,FUTURE,
6,comm595-l190,check circuit 5,,,,comm595-l190,595-111-03,,FUTURE,FUTURE,FUTURE,FUTURE,
,T8-A,T8-B,T8-C,T8-D,T8-E,T8-F,T8-G,T8-H,T8-I,T8-J,T8-K,T8-L,
,,,,,,,,,,,,,
,,,,,,,32HAW-BUPD-radio room,,,,,,
,,,,,,,silb001-penthouse receiver cir#74,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,To 2 Sherborn,,,,,,,,,
,,,,Room B05,,,,,,,,,
,,,,(24/24),,,,,,,,,
1,A- Slot4 Port 4,A- Slot4 Port 12,A- Slot4 Port 15,,A- Slot1 Port 10,,,,Future,Future,Future,Future,
2,Sher002-B07-01,Sher002-205-01,Shr002-404A-01,,Silb002-404A-03,,,,Future,Future,Future,Future,
3,A- Slot4 Port 10,A- Slot4 Port 13,A- Slot4 Port 16,,Admin  8/8,,,,Future,Future,Future,Future,
4,Sher002-B07-02,Sher002-307-01,Shr002-404A-02,,SILB002-B07-03,,,,Future,Future,Future,Future,
5,A- Slot4 Port 11,A- Slot4 Port 14,,,,,,,Future,Future,Future,Future,
6,Sher002-105-01,Sher002-307-02,,,,,,,Future,Future,Future,Future,
,T9-A,T9-B,T9-C,T9-D,T9-E,T9-F,T9-G,T9-H,T9-I,T9-J,T9-K,T9-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,to 112 BSR,,,,,,,,,,,,
,Rm. 0B02,,,,,,,,,,,,
,(1/48 SM),,,,,,,,,,,,
1,R- Slot 3 Port 7,,Admin 4/5,,,,,,Future,Future,Future,Future,
2,112-0B02-01,Bays128-B02-02,Bays122-B03A-01,,,,,,Future,Future,Future,Future,
3,,Admin 4/4,,,,,,,Future,Future,Future,Future,
4,,Bays122-B03A-01,,,,,,,Future,Future,Future,Future,
5,,,,,,,,,Future,Future,Future,Future,
